MSOA,population,males,females,children,youth,elderly
E02000781,16292,8184,8110,1168,2466,2467
E02000782,11488,5682,5802,975,1583,1138
E02000783,7398,3763,3627,571,1192,790
E02000784,10131,4832,5298,472,1019,2479
E02000785,9707,4650,5064,491,757,2346
E02000786,11375,5345,6029,895,796,2153
E02000787,12085,5791,6294,801,986,2080
E02000788,9091,4379,4713,620,736,1805
E02000789,6302,2986,3318,314,489,1422
E02000790,6583,3177,3409,422,573,1078
E02000791,6471,3129,3343,381,454,1330
E02000792,7144,3451,3704,339,594,1620
E02000793,8109,4075,4031,421,874,1861
E02000794,7016,3458,3558,422,650,1330
E02000795,6930,3353,3573,369,677,1713
E02000796,11083,5421,5664,625,1293,2361
E02000797,7865,3841,4027,515,682,1285
E02000798,11307,5315,5986,678,1156,2002
E02000799,6606,3166,3443,275,1320,1408
E02000800,5409,2589,2819,300,541,1173
E02000801,7109,3350,3759,430,644,1445
E02000802,7026,3378,3640,329,588,1652
E02000803,9717,4651,5068,525,924,2397
E02000804,7153,3361,3790,405,714,1644
E02000805,10754,5267,5486,530,1023,2482
E02000806,10296,5010,5288,544,887,2628
E02000807,8223,4179,4041,418,771,961
E02000808,10169,5104,5071,311,2519,1106
E02000810,11888,5861,6042,597,1464,1324
E02000812,10789,5151,5642,450,1927,1313
E02000813,10225,4991,5239,481,1406,1077
E02000814,10285,5223,5067,580,1084,1057
E02000815,7610,3673,3934,313,1955,563
E02000816,9608,4651,4957,554,1354,1128
E02000817,6822,3318,3508,347,896,1133
E02000818,9787,4890,4896,441,1471,1151
E02000819,8497,4142,4353,490,1363,1043
E02000820,9241,4565,4675,399,1574,1086
E02000821,9358,4472,4892,592,1361,1027
E02000822,6727,3197,3523,355,1011,821
E02000823,8682,4142,4538,380,1203,1149
E02000824,9903,4675,5226,546,1523,1291
E02000825,10228,4777,5444,557,1596,1297
E02000826,9884,4751,5125,554,1362,1219
E02000827,11311,5467,5842,603,1397,1527
E02000828,8813,4183,4628,457,1349,1050
E02000829,10926,5101,5815,633,1143,1496
E02000830,8880,4404,4476,422,993,1190
E02000831,9354,4429,4921,566,935,1206
E02000832,9690,4590,5105,585,1110,1514
E02000833,7487,3507,3985,435,829,919
E02000834,9388,4360,5028,626,759,1232
E02000835,7681,3578,4097,597,688,1043
E02000836,8294,4036,4257,632,642,1253
E02000837,8554,4133,4420,483,799,1786
E02000838,9500,4514,4987,633,892,1426
E02000839,8486,4149,4337,526,862,1486
E02000840,9316,4455,4868,645,1101,1248
E02000841,9189,4342,4847,554,1198,1401
E02000842,8276,4024,4259,441,937,1925
E02000843,9478,4574,4896,800,758,1297
E02000844,8658,4188,4462,516,1100,1492
E02000845,9421,4548,4866,646,908,1588
E02000846,7613,3671,3939,413,809,1648
E02000847,9422,4612,4803,565,911,2425
E02000848,8140,4006,4130,413,968,1708
E02000849,8175,3970,4207,542,803,1612
E02000850,10837,5296,5538,611,1246,2295
E02000851,11585,5588,5992,918,1049,1632
E02000852,8147,3920,4227,509,736,1509
E02000853,8171,3952,4220,531,785,1464
E02000854,7611,3679,3939,498,656,1625
E02000855,8202,3941,4263,405,846,2159
E02000856,9332,4630,4694,558,907,1965
E02000857,9001,4280,4718,560,669,1781
E02000858,8568,4102,4467,560,1092,1315
E02000859,8490,3980,4509,408,833,2289
E02000860,8782,4304,4474,620,654,1521
E02000861,7776,3855,3919,337,750,2286
E02000863,6735,3322,3411,319,771,1784
E02000864,11262,5475,5790,712,1395,1194
E02000865,7963,3795,4159,461,1191,869
E02000866,10649,5297,5345,674,1416,1329
E02000867,11327,5548,5783,602,1472,871
E02000868,7197,3538,3658,362,1129,638
E02000869,5932,2908,3025,298,806,711
E02000870,6369,3145,3233,356,988,702
E02000871,11517,5677,5835,847,1790,899
E02000872,8141,4112,4027,396,1379,635
E02000873,9852,4756,5100,627,2698,650
E02000874,7497,3726,3775,450,1352,600
E02000875,13567,6759,6807,860,2284,1008
E02000876,7275,3831,3444,437,1176,633
E02000877,13810,7041,6771,901,2329,978
E02000878,10431,5362,5066,480,2134,907
E02000879,8340,4201,4141,511,1462,1031
E02000880,6513,3282,3237,472,1161,563
E02000881,10837,5412,5419,825,1873,834
E02000882,11503,5583,5917,804,1955,1012
E02000883,9286,4682,4603,631,1603,880
E02000884,12765,6604,6165,701,3045,710
E02000885,7054,3532,3526,468,1172,838
E02000886,9592,5151,4439,581,1352,687
E02000887,10798,5416,5381,781,1699,908
E02000888,8617,4442,4177,572,1197,669
E02000889,8965,4660,4309,494,1186,736
E02000890,5816,2999,2821,312,515,778
E02000893,7413,3622,3790,490,952,843
E02000894,11011,5472,5536,783,1330,866
E02000895,8373,4103,4267,449,981,2206
E02000896,9327,4494,4831,551,907,2324
E02000897,8566,4017,4551,465,970,1764
E02000898,8008,3936,4074,452,828,1905
E02000899,8816,4286,4522,507,941,1908
E02000900,8974,4413,4565,587,1113,1609
E02000901,10487,5153,5341,696,1164,1985
E02000902,9961,4810,5154,790,1132,1388
E02000903,10276,4923,5355,694,1379,1283
E02000904,8429,4161,4266,547,971,1134
E02000905,10470,5084,5388,941,1029,1217
E02000906,9655,4622,5033,666,1072,1067
E02000907,10575,5120,5459,810,1304,1261
E02000908,12907,6201,6702,834,1476,1289
E02000909,9246,4450,4795,665,788,1211
E02000910,11426,5650,5783,794,1024,1459
E02000911,12961,6353,6615,917,1263,1312
E02000912,9741,4823,4923,708,1181,1293
E02000913,9642,4866,4775,691,1202,1488
E02000914,11795,5906,5893,847,1414,1431
E02000915,8113,3968,4141,520,729,1289
E02000916,10568,5239,5324,766,1165,1219
E02000917,9585,4677,4913,781,901,1009
E02000918,9323,4771,4546,639,978,1240
E02000919,9238,4607,4637,683,927,1122
E02000920,10298,5074,5228,626,1247,1307
E02000921,11201,5583,5615,678,1429,1392
E02000922,10466,5194,5266,678,1199,1340
E02000923,7526,3574,3953,367,647,1555
E02000925,7904,3697,4204,472,953,1083
E02000926,11645,5569,6073,617,1076,1379
E02000927,7099,3373,3726,365,783,1064
E02000928,8356,3951,4405,464,790,1474
